uniqid,ew,y,east,nw,south,age,female,occupation,form_educ,pmi,det_risk,sanct,tax_mor,fin_diff,resp_coop,wex
70003556,0,NA,0,1,0,43,0,4,3,1,3,2,9.4,3,3,39519.546875
70003567,0,NA,0,1,0,57,0,4,2,0,2,2,8.4,1,3,41775.003906
70003568,0,NA,0,1,0,47,0,4,2,0,3,3,7.8,3,3,65277.53125
70003573,0,NA,0,1,0,41,0,3,2,0,4,1,6,2,3,60761.167969
70003581,0,NA,0,1,0,28,0,2,3,0,2,2,6,3,3,50121.289062
70003591,0,NA,0,1,0,35,0,3,3,1,2,2,7.6,2,3,50121.289062
70003596,0,NA,0,1,0,32,1,4,2,1,3,2,8.6,2,3,47282.898438
70003599,0,NA,0,1,0,44,1,3,3,0,2,2,10,3,3,59845.90625
70003607,0,NA,0,1,0,51,0,2,3,0,2,2,9.8,3,3,60761.167969
70003631,1,0.35,0,1,0,22,0,4,2,0,4,2,6.4,3,3,74304.8125
70003645,0,NA,0,1,0,53,0,3,3,1,4,2,10,2,3,49532.90625
70003691,0,NA,0,1,0,32,0,2,3,1,3,1,8.8,3,3,36408.757812
70003703,0,NA,0,1,0,65,1,2,3,0,3,1,8,2,3,26324.572266
70003708,0,NA,0,1,0,44,0,2,3,0,3,2,10,3,3,64182.488281
70003712,0,NA,0,1,0,24,1,4,3,1,3,2,9.2,2,3,119920.632812
70003719,0,NA,0,1,0,59,0,4,3,1,2,3,7.2,3,3,45305.285156
70003722,0,NA,0,1,0,35,1,4,2,1,3,2,9.2,2,2,30514.058594
70003741,0,NA,0,1,0,49,0,2,3,1,3,2,8.8,3,3,57955.464844
70003746,0,NA,0,1,0,51,1,3,3,0,2,2,10,3,3,54032.929688
70003755,0,NA,0,1,0,47,0,3,3,1,2,2,10,1,3,85729.195312
70003758,0,NA,0,1,0,60,1,3,3,1,4,2,10,3,3,85026.40625
70003762,0,NA,0,1,0,50,1,3,3,1,2,1,8.4,3,3,56620.710938
70003765,0,NA,0,1,0,49,1,2,3,0,3,1,9.2,3,3,56620.710938
70003766,0,NA,0,1,0,65,1,3,2,1,3,2,9,3,3,37013.480469
70003773,0,NA,0,1,0,39,0,2,3,0,3,2,8.8,3,3,50039.570312
70003797,0,NA,0,1,0,46,1,3,3,1,3,2,7.6,3,3,59845.90625
70003804,0,NA,0,1,0,59,1,4,2,0,2,2,10,3,3,51036.546875
70003805,0,NA,0,1,0,24,1,3,2,1,2,2,10,3,3,110174.21875
70003806,0,NA,0,1,0,29,0,2,3,1,3,1,8.2,3,3,62123.15625
70003807,0,NA,0,1,0,51,0,3,2,0,4,1,6,3,3,74920.429688
70003808,1,NA,0,1,0,30,0,3,3,1,1,1,7.6,3,3,62123.15625
70003809,0,NA,0,1,0,24,1,3,2,1,2,2,10,2,3,110174.21875
70003813,0,NA,0,1,0,36,1,3,2,1,4,2,5,1,3,61006.324219
70003816,0,NA,0,1,0,45,0,2,3,0,1,2,10,3,3,65277.53125
70003841,0,NA,0,1,0,47,0,4,3,0,3,2,8.2,3,2,65277.53125
70003845,0,NA,0,1,0,38,0,3,3,0,2,2,8.8,3,2,53923.96875
80000004,0,NA,0,1,0,32,1,4,2,1,3,2,8.2,3,1,3561.458496
80000005,0,NA,0,1,0,50,1,2,3,1,2,2,8.8,3,3,3774.026367
80000025,0,NA,0,1,0,53,0,4,2,0,2,2,10,2,1,3741.876465
80000034,0,NA,0,1,0,34,0,4,1,1,3,2,5,3,2,7489.04834
80000044,0,NA,0,1,0,34,1,2,3,1,3,1,5.6,3,3,4103.847168
80000050,0,NA,0,1,0,33,1,2,3,1,3,1,6.2,2,3,4103.847168
80000051,0,NA,0,1,0,56,1,4,3,1,2,2,6.4,3,2,3628.784424
80000054,0,NA,0,1,0,65,0,3,2,0,3,2,1,3,1,1880.583252
80000056,0,NA,0,1,0,45,0,3,2,1,2,3,4.4,2,1,3600.038574
80000059,0,NA,0,1,0,38,1,2,3,1,2,2,8.2,2,2,3561.458496
