"uniqid","ew","y","east","nw","south","age","female","occupation","form_educ","pmi","det_risk","sanct","tax_mor","fin_diff","resp_coop","w1","wex"
10000008,0,NA,0,1,0,32,1,3,3,1,3,2,2.6,3,1,0.8487,7664.723633
10000011,0,NA,0,1,0,58,1,3,3,1,3,2,1.8,3,1,0.6448,5823.275391
10000045,0,NA,0,1,0,33,0,4,3,1,3,2,3.4,3,1,0.9895,8936.307617
10000086,0,NA,0,1,0,44,0,3,3,0,2,2,1,3,1,0.7668,6925.07373
10000089,0,NA,0,1,0,40,0,3,3,0,3,2,4.2,3,1,0.7668,6925.07373
10000091,0,NA,0,1,0,39,0,4,3,0,4,2,1.8,3,1,0.9895,8936.307617
10000099,0,NA,0,1,0,51,1,4,2,0,2,1,5,2,1,0.8302,7497.647949
10000105,0,NA,0,1,0,38,0,2,3,0,2,2,3.4,2,1,0.9895,8936.307617
10000135,0,NA,0,1,0,31,0,4,3,0,2,2,8,3,1,0.9895,8936.307617
10000137,0,NA,0,1,0,43,0,3,3,0,2,2,5.4,3,1,0.7668,6925.07373
10000139,0,NA,0,1,0,34,1,4,3,0,3,2,2.6,3,1,0.8487,7664.723633
10000140,0,NA,0,1,0,36,0,4,3,1,2,2,1,1,1,0.9895,8936.307617
10000155,0,NA,0,1,0,42,0,4,3,1,2,2,1.4,3,1,0.7668,6925.07373
10000156,0,NA,0,1,0,61,1,3,3,1,2,2,1,3,1,0.6448,5823.275391
10000157,0,NA,0,1,0,36,0,3,3,0,1,2,1,2,1,0.9895,8936.307617
10000158,0,NA,0,1,0,52,1,4,3,1,3,2,1.6,3,1,0.8302,7497.647949
10000159,0,NA,0,1,0,35,1,4,3,1,2,2,3.2,3,1,0.8487,7664.723633
10000167,0,NA,0,1,0,38,0,2,3,1,2,1,5.2,2,3,0.9895,8936.307617
10000190,0,NA,0,1,0,36,1,4,3,0,3,2,2,3,2,0.8487,7664.723633
10000193,0,NA,0,1,0,51,0,3,3,0,2,2,3.8,2,2,0.7668,6925.07373
10000198,0,NA,0,1,0,35,0,3,3,1,2,1,6,2,2,0.9895,8936.307617
10000200,0,NA,0,1,0,43,0,2,3,0,2,2,7.2,3,2,0.7668,6925.07373
10000206,1,0.2,0,1,0,46,0,3,2,1,3,1,3.6,2,1,0.7668,6925.07373
10000214,0,NA,0,1,0,40,1,4,2,1,4,1,5.6,2,1,0.8302,7497.647949
10000217,0,NA,0,1,0,34,1,4,3,1,4,2,6.8,2,1,0.8487,7664.723633
10000220,0,NA,0,1,0,32,0,3,3,1,3,1,4.2,2,1,0.9895,8936.307617
10000236,0,NA,0,1,0,38,0,3,3,1,3,2,7,2,2,0.9895,8936.307617
10000258,0,NA,0,1,0,44,0,4,3,1,2,1,2.4,1,1,0.7668,6925.07373
